Delta z (mu m),Resolution
-9.0,8.3e-09
-8.0,7.8e-09
-7.0,7.4e-09
-6.0,6.8e-09
-5.0,6.3e-09
-4.0,5.8e-09
-3.5,5.5e-09
-3.20833,5.3e-09
-2.91667,5.1e-09
-2.625,4.9e-09
-2.33333,4.7e-09
-2.04167,4.4e-09
-1.75,4.2e-09
-1.45833,4e-09
-1.16667,3.8e-09
-0.875,3.5e-09
-0.58333,3.2e-09
-0.29167,2.8e-09
-0.0,2.5e-09
0.29167,2.2e-09
0.58333,2.1e-09
0.875,1.9e-09
1.16667,1.9e-09
1.45833,1.9e-09
1.75,2e-09
2.04167,2.1e-09
2.33333,2.3e-09
2.625,2.7e-09
2.91667,3.1e-09
3.20833,3.5e-09
3.5,3.9e-09
4.0,4.3e-09
5.0,5.2e-09
6.0,6e-09
7.0,6.4e-09
8.0,6.9e-09
9.0,7.5e-09
10.0,8e-09
