Delta z (m),Resolution (nm)
-1e-05,6.982421875
-1e-05,6.689453125
-1e-05,6.396484375
-1e-05,5.810546875
-0.0,5.37109375
-0.0,4.98046875
-0.0,4.736328125
-0.0,4.541015625
-0.0,4.39453125
-0.0,4.248046875
-0.0,4.052734375
-0.0,3.857421875
-0.0,3.7109375
-0.0,3.515625
-0.0,3.271484375
-0.0,3.076171875
-0.0,2.783203125
-0.0,2.490234375
-0.0,2.294921875
0.0,2.099609375
0.0,2.001953125
0.0,1.904296875
0.0,1.806640625
0.0,1.806640625
0.0,1.806640625
0.0,1.904296875
0.0,2.001953125
0.0,2.099609375
0.0,2.294921875
0.0,2.587890625
0.0,2.880859375
0.0,3.466796875
0.0,4.345703125
1e-05,5.029296875
1e-05,5.517578125
1e-05,5.859375
1e-05,6.298828125
1e-05,6.787109375
