Delta z (mu m),Resolution
-9.0,8e-09
-8.0,7.6e-09
-7.0,7.2e-09
-6.0,6.4e-09
-5.0,5.9e-09
-4.0,5.5e-09
-3.5,5.2e-09
-3.20833,4.9e-09
-2.91667,4.7e-09
-2.625,4.4e-09
-2.33333,4.2e-09
-2.04167,4.1e-09
-1.75,3.9e-09
-1.45833,3.6e-09
-1.16667,3.3e-09
-0.875,2.9e-09
-0.58333,2.6e-09
-0.29167,2.2e-09
-0.0,2e-09
0.29167,1.8e-09
0.58333,1.7e-09
0.875,1.6e-09
1.16667,1.7e-09
1.45833,1.8e-09
1.75,2.1e-09
2.04167,2.5e-09
2.33333,3.1e-09
2.625,3.6e-09
2.91667,4e-09
3.20833,4.3e-09
3.5,4.5e-09
4.0,4.9e-09
5.0,6e-09
6.0,6.7e-09
7.0,6.7e-09
8.0,7.2e-09
9.0,7.9e-09
10.0,8.3e-09
