Delta z (mu m),Resolution
-9.0,7.9e-09
-8.0,7.4e-09
-7.0,7e-09
-6.0,6.4e-09
-5.0,5.9e-09
-4.0,5.2e-09
-3.5,4.9e-09
-3.20833,4.7e-09
-2.91667,4.5e-09
-2.625,4.3e-09
-2.33333,4e-09
-2.04167,3.8e-09
-1.75,3.5e-09
-1.45833,3.2e-09
-1.16667,2.9e-09
-0.875,2.5e-09
-0.58333,2e-09
-0.29167,1.4e-09
-0.0,6e-10
0.29167,1.4e-09
0.58333,2.1e-09
0.875,2.4e-09
1.16667,2.8e-09
1.45833,3.2e-09
1.75,3.5e-09
2.04167,3.7e-09
2.33333,4.1e-09
2.625,4.3e-09
2.91667,4.5e-09
3.20833,4.7e-09
3.5,4.9e-09
4.0,5.2e-09
5.0,5.9e-09
6.0,6.4e-09
7.0,7e-09
8.0,7.4e-09
9.0,7.9e-09
10.0,8.3e-09
