E_0 (eV),resolution (nm)

0.1,1.3916015625

0.2,1.2573242188

0.3,1.171875

0.4,1.123046875

0.5,1.07421875

0.6,1.0498046875

0.7,1.0375976562

0.8,1.0131835938

0.9,0.9887695312

1.0,0.9765625

1.0,0.9765625

2.0,0.87890625

3.0,0.830078125

4.0,0.7934570312

5.0,0.7690429688

6.0,0.7446289063

7.0,0.7202148438

8.0,0.7202148438

9.0,0.6958007813

10.0,0.6958007813

E_0 (eV),resolution (nm)
55.0,0.5126953125
60.0,0.5004882812
65.0,0.5004882812
70.0,0.5004882812
75.0,0.4760742188
80.0,0.4760742188
85.0,0.4760742188
90.0,0.4760742188
95.0,0.4760742188
100.0,0.4638671875
